ID;Nom;Sigle;Minitel;Email;Web;Description;Info;Horaires;BP;CP;Telephone1;Telephone2;Fax;CommuneID;CommuneNom;QuarNum;QuarNom;AdreNumero;AdreExtension;AdreImmeuble;AdreRue1;AdreRue2;Longitude;Latitude;OrgaDescription;DomaineLibelle1;DomaineDescription1;DomaineLibelle2;DomaineDescription2;DomaineLibelle3;DomaineDescription3;DomaineLibelle4;DomaineDescription4;Accessibilité 1;Accessibilité 2;Accessibilité 3;Accessibilité 4;Geo
338;La Tour d'Auvergne;TA;;accueil@tourdauvergneasso.com;www.tourdauvergneasso.com;Centre d'animation, de sports et de loisirs.Club d’accueil ouvert à tout public.~~~Partenaire de la carte Sortir.;Accompagnement scolaire individuel du CE1 à la 2nde.~~~Centre de loisirs associatifs pour les 4-11 ans ouvert le mercredi, 8h à 12h.;Lundi, 14h à 18h30. Mardi au vendredi, 10h à 12h30 et 14h à 18h30.~~~Centre de loisirs associatifs pour les 4-11 ans ouvert le mercredi, 8h à 12h. Ouvert été 2016;BP 60408;35004;02 99 30 10 89;;02 99 67 62 17;1;Rennes;1;Centre;8;;;PASSAGE DU COUEDIC;PASSAGE DU COUEDIC;-1.683192167;48.10407141;Centre de loisirs associatifs pour les 4-10 ans ouvert le mercredi de 8h à 12h.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;Non renseigné;;;;48.10407141, -1.683192167
1036;Cercle Paul Bert Centre;CPB;;centre@cerclepaulbert.asso.fr;www.cerclepaulbert.asso.fr;Equipement de quartier : activités sportives et culturelles variées : judo, gymnastique artistique, théâtre...~~~;Accompagnement scolaire individualisé en collectif du CP à la 3e.~~~Centre de loisirs associatifs pour les 3-12 ans ouvert le mercredi, 8h15 à 18h30.~~~Contact : 02 99 27 53 01.~~~;Lundi, mardi et jeudi, 14h à 18h. Mercredi, 9h à 12h et  14h à 18h30. Vendredi, 9h à 12h.~~~Centre de loisirs associatifs ouvert le mercredi, 8h15 à 18h30.;BP 60401;35704;02 99 27 02 46;;02 99 27 74 09;1;Rennes;2;Thabor - Saint-Hélier -  Alphonse Guérin;30;bis;;RUE DE PARIS;RUE DE PARIS;-1.667547278;48.11199639;Centre de loisirs associatifs pour les 3-12ans ouvert le mercredi de 8h30 à 18h30.Contact : 02 99 27 53 01.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;Non renseigné;;;;48.11199639, -1.667547278
646;Cercle Paul Bert Gayeulles;CPB;;gayeulles@cerclepaulbert.asso.fr;www.cerclepaulbert.asso.fr;Association affiliée à la Ligue Française de l’Enseignement.~~~Ses équipements, proposent des disciplines très diverses. Accueil de loisirs pour adolescents.~~~;Accompagnement à la scolarité collectif de la 6e à la 3e.~~~Le CPB Gayeulles  propose de  l'aide aux devoirs  et des loisirs pour adolescents au pôle associatif de la Marbaudais.;Lundi, mardi, jeudi et vendredi : 10h à 12h30 et 14h à 18h30~~~Mercredi, 9h30 à 12h30 et 14h à 18h. ~~~Accueil de loisirs jeunes : mercredi et samedi après-midi et vendredi soir.~~~Aide aux devoirs : mardi, jeudi, 17h à 19h.~~~Ouvert pendant les vacances scolaires.~~~~~~;;35700;02 99 63 19 13;;02 99 36 54 06;1;Rennes;5;Maurepas - Bellangerais;12;;;RUE DES LONGS PRES;RUE DES LONGS PRES;-1.654075436;48.13198222;Accueil de loisirs pour ados.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;handicap auditif : bonne accessibilité;handicap cognitif : bonne accessibilité;handicap moteur : bonne accessibilité;handicap visuel : accessibilité moyenne;48.13198222, -1.654075436
581;Centre social Maurepas;CS;;cs.maurepas@assoarcs.com;www.centres-sociaux-rennais.fr;Equipement de proximité à la disposition des habitants : accueil, information sociale, aide à la fonction parentale et à la vie quotidienne. Il favorise le lien social et la solidarité entre les habitants à travers des animations spécifiques, et le soutien aux initiatives des habitants et associations visant à une vie de quartier plus conviviale.~~~Atelier couture, espace convivial, sorties culturelles, accompagnement dans les administratives et projets. Permanences juridiques (sous conditions de ressources) organisées par l'Ordre des avocats, 2e et 4e mardi du mois, 14h à 17h. Permanences de l'UFC Que choisir le vendredi matin, la Plume (aide à l'écriture de courrier, de CV) le mardi matin, écrivain public le mercredi après-midi, technicien et service social de la CAF, animatrice relais assistantes maternelles, défenseur des droits le mercredi après-midi. Atelier couture, espace convivial, sorties culturelles, accompagnement dans les administrations et projets.Partenaire de la carte Sortir.;2 haltes-garderies (Longs Prés et Gros Chêne) pour les enfants de 3 mois à 3 ans. Espace Parents et enfants, autour du jouet, du jeu, d’activités d’éveils. Ludothèque, pour tout public. Accueil de loisirs pour les enfants de 3 à 12 ans : activités et jeux de découverte, expérimentation. Tous à table, c’est mardi : activités cuisine pour les parents d’enfants entre 0 et 6 ans. Sorties familiales.~~~Dispose également d'un espace ressources emploi(ERE).Il reçoit tous les habitants inscrits ou non au Pôle emploi en recherche d'un emploi ou d'une formation.Il propose  un premier niveau d'information et de documentation, en orientant les personnes vers les interlocuteurs ressources.;Lundi au vendredi, 9h à 12h30 et 13h45 à 17h30 (sauf vendredi : 17h). Fermé jeudi matin. Ouvert pendant les vacances scolaires et l'été (voir programme au centre social). Accueil des enfants mercredi et samedi, 13h30 à 17h30 et pendant les vacances scolaires : lundi au vendredi, 13h30 à 17h30. Centre de loisirs associatifs pour les 3-12 ans, mercredi, 13h30 à 17h30. ~~~~~~;;35700;02 99 27 48 27;;02 99 27 48 25;1;Rennes;5;Maurepas - Bellangerais;11;;C;;PLACE DU GROS CHENE;-1.663943465;48.12634394;Centre de loisirs associatifs pour les 3-12 ans le mercredi, 13h30 à 17h30.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;Non renseigné;;;;48.12634394, -1.663943465
358;Cercle Paul Bert Longs Champs;CPB;;longchamps@cerclepaulbert.asso.fr;www.cerclepaulbert.asso.fr;Association affiliée à la Ligue Française de l’Enseignement.~~~Ses équipements, proposent des disciplines très diverses.~~~Accompagnement scolaire collectif de la 6e à la 3e.~~~Centre de loisirs enfance (5 à 11ans)et accueil jeunesse (11 à 17 ans), activités sportives, culturelles et de loisirs.;Centre de loisirs associatifs pour les 5-12 ans, mercredi , 8h à 18h30.;Lundi, mercredi et vendredi, 10h à 12h et 14h à 18h (sauf vendredi : 17h30). Mardi, 14h à 18h. Centre de loisirs associatifs pour les 5-12 ans, mercredi,  8h à 18h30.;;35700;02 99 27 63 27;;;1;Rennes;6;Jeanne d'Arc - Longs Champs - Beaulieu;60;;;RUE DOYEN ALBERT ET PIERRE BOUZAT;RUE DOYEN ALBERT ET PIERRE BOUZAT;-1.635903433;48.12770127;Centre de loisirs associatifs pour les 5-12 ans le mercredi de 8h à 18h30.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;handicap auditif : bonne accessibilité;handicap cognitif : accessibilité moyenne;handicap moteur : faible accessibilité;handicap visuel : accessibilité moyenne;48.12770127, -1.635903433
365;Centre social Villejean;CS;;cs.villejean@assoarcs.com;www.centres-sociaux-rennais.fr;Equipement de proximité à la disposition des habitants : accueil, information sociale, aide à la fonction parentale et à la vie quotidienne. Il favorise le lien social et la solidarité entre les habitants à travers des animations spécifiques, et le soutien aux initiatives des habitants et associations visant à une vie de quartier plus conviviale.~~~Partenaire de la carte Sortir.;Accompagnement scolaire individualisé en collectif du CP au CM2.~~~Groupe Parlons français : compréhension et expression orales basées sur la vie quotidienne. Centre de loisirs associatifs pour les 3 à 8ans le mercredi, 13h45 à 18h et pendant les vacances scolaires tous les après midis. Halte Garderie (3 mois à 3 ans). Ateliers d’éveil et de découverte, animations qui développent le jeu, l’expression des enfants, la découverte de l’environnement. Sorties familiales, activités adultes.~~~;Lundi au vendredi, 9h à 12h et 13h45 à 18h (sauf vendredi : 17h30). Fermé jeudi matin. Centre de loisirs associatifs pour les 3 à 8ans, mercredi, 13h30 à 17h30.;;35000;02 23 46 85 70;;;1;Rennes;10;Villejean - Beauregard;42;;;COURS PRESIDENT JOHN FITZGERALD KENNEDY;COURS PRESIDENT JOHN FITZGERALD KENNEDY;-1.711523261;48.12152912;Centre de loisirs associatifs pour les 3-8ans le mercredi, 13h30 à 17h30. Contact : 02 99 46 46 10.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;handicap auditif : bonne accessibilité;handicap cognitif : bonne accessibilité;handicap moteur : faible accessibilité;handicap visuel : bonne accessibilité;48.12152912, -1.711523261
165;Maison de quartier Villejean;;;contact@mqvillejean.fr;www.mqvillejean.fr;Gérée par l'association rencontre et culture, elle fonctionne avec une équipe de professionnels et de bénévoles et propose diverses activités sportives et culturelles. Partenaire de la carte Sortir.;Accompagnement scolaire individualisé en collectif de la 6e à la 3e (jeunesse2@mqvillejean.fr)~~~Accueil de loisirs associatifs pour les 6-11 ans, mercredi, 13h30 à 18h.~~~;Horaires période scolaire~~~Lundi, 18h à 22h. Mardi et mercredi, 9h à 12h et 14h à 23h. Jeudi, 14h à 23h. Vendredi, 8h30 à 23h. Samedi, 10h à 12h30 et 14h à 18h.~~~Horaires période de vacances scolaire~~~Lundi au vendredi, 9h à 12h et 14h à 19h.Samedi, 10h à 12h30 et 14h à 18h. Ouvert été 2016.~~~Accueil pour les 11-17 ans du 6 au 29 juillet. Mardi au vendredi, 14h à 18h.~~~;;35000;02 99 59 04 02;;;1;Rennes;10;Villejean - Beauregard;12;;;RUE DE BOURGOGNE;RUE DE BOURGOGNE;-1.707437462;48.11953406;Centre de loisirs associatifs pour les 6-12 ans, mercredi, 13h30 à 18h30.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;Non renseigné;;;;48.11953406, -1.707437462
1647;Kreizenn  Dudi - Diwan Bro Roazhon;;;kreizenn-dudi@diwan-bro-roazhon.org;www.diwan-bro-roazhon.org;Centre de loisirs en langue bretonne ouvert à tous les enfants de 3 à 12 ans.~~~ ~~~;Centre de loisirs associatifs pour les 3-12 ans, mercredi, 8h à 18h30.;Ouvert le mercredi et mini-camps les petites vacances.;;35200;02 99 32 44 50;;;1;Rennes;11;Le Blosne;31;;;;BOULEVARD DU PORTUGAL;-1.666352705;48.08385224;Centre de loisirs associatifs pour les 3-12 ans le mercredi de 8h à 18h30.;LOISIRS CULTURELS;;Enfants, adolescents;;Les accueils de loisirs associatifs;;;;handicap auditif : bonne accessibilité;handicap cognitif : bonne accessibilité;handicap moteur : bonne accessibilité;handicap visuel : bonne accessibilité;48.08385224, -1.666352705
1050;Ville de Rennes - Direction de l'éducation et de l'enfance;DEE;;dee@ville-rennes.fr;metropole.rennes.fr;Renseignements sur les inscriptions scolaires, restauration, accompagnement scolaire, accueil avant et après la classe, accueils de loisirs municipaux, accueils de loisirs d'été, organisation de dispositifs pédibus.~~~Renseignements et inscriptions accueils périscolaires et de loisirs : 02 23 62 16 74.;;Lundi au vendredi, 8h30 à 12h30 et 13h30 à 17h.;CS 63126;35031;02 23 62 16 78;;02 23 62 16 79;1;Rennes;2;Thabor - Saint-Hélier -  Alphonse Guérin;82;;;;RUE DE PARIS;-1.660498144;48.11370951;;LOISIRS CULTURELS;;Enfants, adolescents;;Mercredis et petites vacances, les accueils de loisirs municipaux;;;;Non renseigné;;;;48.11370951, -1.660498144
1230;Accueil de loisirs Dominique Savio;;;;www.educarennes.fr/index.php/public/default/ecoles?ville=2;Pendant les petites vacances (sauf vacances de Noël), ce centre accueille les enfants du CE1 au CM2. ~~~L'été, le centre accueille les enfants de moyenne section et CP.~~~Un transport en car est possible à partir des centres de départ de quartier. ~~~Les enfants sont encadrés par des responsables éducation et loisirs, des animateurs, des agents spécialisés des écoles maternelles qui proposent un choix d'activités variées : travaux manuels, cuisine, ludothèque, sorties...;;Petites vacances et été.~~~Accueil sur les centres de départ de quartier à partir de 7h30 (7h45 l'été). Départ à 9h, retour vers 18h. Accueil jusqu'à 18h45 (18h30 l'été).;;35000;02 99 63 61 49;;;1;Rennes;5;Maurepas - Bellangerais;;;;;CHEMIN RURAL 34 DE VC 11 AUX CHAMPS RENAUDS;-1.633881282;48.1450958;;LOISIRS CULTURELS;;Enfants, adolescents;;Mercredis et petites vacances, les accueils de loisirs municipaux;;;;Non renseigné;;;;48.1450958, -1.633881282
